Commune;nbr
Eaunes 31600;  760
Échirolles 38130; 4 480
Eckbolsheim 67201;  600
Écouen 95440;  690
Écully 69130; 1 470
Égletons 19300;  340
Égly 91520;  630
Éguilles 13510;  650
Élancourt 78990; 2 220
Elbeuf 76500; 3 350
Elne 66200; 1 650
Elven 56250;  530
Embrun 05200;  820
Émerainville 77184;  660
Enghien-les-Bains 95880; 1 030
Ensisheim 68190;  630
Ensuès-la-Redonne 13820;  440
Entraigues-sur-la-Sorgue 84320;  890
Entre-Deux 97414; 1 670
Entrelacs 73410;  390
Epagny Metz-Tessy 74330;  690
Épernay 51200; 2 800
Épernon 28230;  560
Épinal 88000; 4 590
Épinay-sous-Sénart 91860; 1 380
Épinay-sur-Orge 91360;  850
Épinay-sur-Seine 93800; 7 390
Épône 78680;  740
Éragny 95610; 1 860
Erdre-en-Anjou 49220;  410
Ergué-Gabéric 29500;  610
Ermont 95120; 2 950
Ernée 53500;  420
Erquinghem-Lys 59193;  400
Erstein 67150; 1 010
Esbly 77450;  500
Escalquens 31750;  650
Escaudain 59124; 1 510
Eschau 67114;  410
Essey-lès-Nancy 54270;  980
Estaires 59940;  590
Esvres 37320;  440
Étampes 91150; 3 030
Étaples 62630; 1 220
Étoile-sur-Rhône 26800;  510
Étréchy 91580;  450
Eu 76260;  710
Évian-les-Bains 74500; 1 190
Évreux 27000; 7 790
Évron 53600;  650
Évry 91000; 9 230
Eybens 38320; 1 010
Eyguières 13430;  750
Eysines 33320; 2 700
Ézanville 95460;  890
Fabrègues 34690;  810
Faches-Thumesnil 59155; 2 610
Falaise 14700;  990
Fameck 57290; 1 660
Farébersviller 57450;  830
Faulquemont 57380;  560
Faverges 74210;  720
Fayence 83440;  610
Fécamp 76400; 2 240
Fegersheim 67640;  420
Feignies 59750;  930
Fenain 59179;  610
Fenouillet 31150;  710
Ferney-Voltaire 01210; 1 120
Ferrière-la-Grande 59680;  740
Feurs 42110;  730
Feytiat 87220;  460
Feyzin 69320; 1 380
Figeac 46100; 1 110
Fillière 74570;  620
Firminy 42700; 2 490
Fismes 51170;  610
Flers 61100; 2 250
Flers-en-Escrebieux 59128;  810
Fleurance 32500;  720
Fleury-les-Aubrais 45400; 2 870
Fleury-Mérogis 91700; 1 060
Fleury-sur-Orne 14123;  840
Flines-lez-Raches 59148;  500
Floirac 33270; 2 570
Florange 57190; 1 240
Florensac 34510;  670
Foix 09000; 1 490
Fondettes 37230;  770
Fonsorbes 31470; 1 140
Fontaine 38600; 2 620
Fontainebleau 77300; 1 270
Fontaine-lès-Dijon 21121;  640
