Commune;nbr_stud
Espira-de-l'Agly;403
Essarts-en-Bocage;659
Essey-lès-Nancy;536
Estagel;361
Estaires;1252
Esternay;231
Estrées-Saint-Denis;863
Esvres;478
Etain;451
Etampes;4430
Etang-sur-Arroux;204
Etaples;915
Etel;396
Etréchy;565
Etrépagny;518
Etupes;563
Eu;1378
Evian-les-Bains;1896
Evran;163
Evrecy;634
Evreux;7967
Evron;757
Evry-Courcouronnes;7247
Excideuil;506
Eybens;530
Eyguières;609
Eymet;270
Eymoutiers;174
Eysines;926
Ezanville;607
Ezy-sur-Eure;577
Faaa;1148
Faches-Thumesnil;818
Fagnières;534
Falaise;1677
Falck;345
Fameck;2000
Faremoutiers;563
Farébersviller;559
Faucogney-et-la-Mer;192
Faulquemont;706
Fauquembergues;295
Faverges-Seythenex;554
Faverney;285
Fayence;684
Fayl-Billot;159
Feignies;307
Feillens;465
Felletin;260
Fenouillet;552
Ferney-Voltaire;3320
Ferrette;457
Ferrière-la-Grande;496
Ferrières-en-Gâtinais;642
Fessenheim;418
Feucherolles;545
Feuquières-en-Vimeu;431
Feurs;2167
Feyzin;480
Figanières;491
Figeac;1185
Firminy;2081
Fismes;772
Flamanville;257
Flavigny-sur-Moselle;125
Flavy-le-Martel;446
Flers;2571
Fleurance;396
Fleury-les-Aubrais;1376
Fleury-sur-Andelle;667
Fleury-sur-Orne;460
Flines-lez-Raches;312
Flixecourt;499
Floirac;1711
Florac Trois Rivières;239
Florange;528
Florensac;354
Foix;1708
Folschviller;370
Fondettes;470
Fonsorbes;1687
Font-Romeu-Odeillo-Via;816
Fontaine;889
Fontaine-Française;159
Fontaine-lès-Vervins;381
Fontainebleau;4892
Fontaines-sur-Saône;692
Fontenay-Trésigny;511
Fontenay-aux-Roses;783
Fontenay-le-Comte;2916
Fontenay-le-Fleury;600
Fontenay-sous-Bois;2764
Fontenilles;659
Fontoy;475
Forbach;2989
Forcalquier;476
Forges-les-Eaux;1260
Formerie;441
Fort-de-France;8622
Fortschwihr;782
Fos-sur-Mer;818
Fosses;1436
Fouesnant;1133
Foug;135
Fougerolles-Saint-Valbert;216
Fougères;4017
Foulayronnes;24
Fouquières-lès-Lens;336
Fourchambault;639
Fourmies;1561
Fournes-en-Weppes;96
Fraisans;409
Fraize;313
Francheville;628
Franconville;3794
Frangy;581
Franqueville-Saint-Pierre;1162
Frasne;329
Fresnay-sur-Sarthe;278
Fresnes;2308
Fresnes-en-Woëvre;279
Fresnes-sur-Escaut;350
Fresnoy-le-Grand;375
Freyming-Merlebach;549
Frignicourt;366
Friville-Escarbotin;1014
Froissy;445
Froncles;100
Frontenay-Rohan-Rohan;601
Frontenex;489
Frontignan;1611
Fronton;1901
Frouard;310
Fruges;483
Fréjus;2968
Frévent;532
Fumay;240
Fumel;727
Fère-Champenoise;257
Fère-en-Tardenois;512
Fécamp;3027
Gabarret;322
Gacé;308
Gagny;3185
Gaillac;1443
Gaillard;655
Gaillon;1058
Gaillon-sur-Montcient;517
Gallardon;536
Gallargues-le-Montueux;670
Gamaches;540
Gambier;82
Ganges;880
Gannat;597
Gap;4298
Garches;640
Gardanne;2186
Gargenville;626
Garges-lès-Gonesse;3662
Garlin;280
Garéoult;681
Gasny;554
Gassin;1720
Gauchy;411
Gavray-sur-Sienne;203
Geaune;262
Geispolsheim;618
Gelos;20
Genas;1607
Genech;1982
Genlis;560
Gennes-Val-de-Loire;475
Gennevilliers;3539
Gentilly;470
Gençay;426
Gerbéviller;252
Gerstheim;330
Gerzat;730
Gex;1744
Giberville;452
Giel-Courteilles;78
Gien;2468
Gif-sur-Yvette;2519
Gignac;1456
Gignac-la-Nerthe;1586
Gimont;386
Giromagny;418
Gisors;2501
Givet;518
Givors;2513
Givry;560
Gières;1175
Goderville;599
Golbey;656
Goncelin;566
Gond-Pontouvre;469
Gondecourt;1839
Gondrecourt-le-Château;124
Gonesse;3289
Gonfreville-l'Orcher;532
Gorges;1404
Gorron;97
Gourbeyre;246
Gourdan-Polignan;345
Gourdon;674
Gourin;584
Gournay-en-Bray;742
Gournay-sur-Marne;406
Goussainville;3654
Gouvieux;468
Gouzeaucourt;220
Goyave;250
Gradignan;2714
Gragnague;938
Gramat;388
Grand Bourgtheroulde;856
Grand-Bourg;425
Grand-Champ;431
Grand-Couronne;661
Grand-Fort-Philippe;179
Grand-Santi;529
Grande-Synthe;2226
Grandpré;92
Grandvilliers;433
Granville;2114
Grasse;4874
Gratentour;689
Graulhet;93
Gravelines;750
Gravigny;693
Gray;1438
Grenade;742
Grenade-sur-l'Adour;386
Grenay;480
Grenoble;14513
Gretz-Armainvilliers;617
Grez-en-Bouère;258
Grigny;1762
Grigny-sur-Rhône;603
Grisolles;547
Groisy;801
Groix;27
Gros-Morne;321
Grosbliederstroff;424
Grosseto-Prugna;400
Gruchet-Saint-Siméon;368
Gruchet-le-Valasse;385
Gréasque;955
Grésy-sur-Aix;598
Guebwiller;2296
Guer;1026
Guerlesquin;229
Guerlédan;339
Gueugnon;542
Gueux;606
Guichen;670
Guidel;655
Guignen;405
Guigneville-sur-Essonne;495
Guilers;570
Guilherand-Granges;644
Guillestre;308
Guilvinec;352
Guingamp;2905
Guipavas;976
Guipry-Messac;452
Guiscard;288
Guise;524
Gujan-Mestras;1671
Guyancourt;2354
Guémené-Penfao;415
Guémené-sur-Scorff;501
Guénange;667
Guérande;2752
Guéret;2143
Guérigny;262
Guînes;505
Guîtres;447
Gy;419
Gémenos;1166
Gémozac;464
Génelard;283
Génolhac;80
Gérardmer;941
Habsheim;291
Hagetmau;439
Hagondange;567
Haguenau;4712
Halluin;967
Ham;836
Ham-sous-Varsberg;393
Hanches;451
Hao;192
Harfleur;532
Harly;350
Harnes;633
Hartzviller;267
Hasparren;1100
